BusinessName,Address,Mobile,Pincode,City,State,Category,Subcategory,LeadStatus,Status
Shop1,nagpur,1231231231,123123,nagpur,maha,education,class,Engaged,Digital
Shop2,nagpur,1231231232,123123,nagpur,maha,education,class,Engaged,Digital
Shop3,nagpur,1231231233,123123,nagpur,maha,education,class,Engaged,Digital
Shop4,nagpur,1231231234,123123,nagpur,maha,education,class,Engaged,Digital
Shop5,nagpur,1231231235,123123,nagpur,maha,education,class,Engaged,Digital
Shop6,nagpur,1231231236,123123,nagpur,maha,education,class,Engaged,Digital
Shop7,nagpur,1231231237,123123,nagpur,maha,education,class,Engaged,Digital
Shop8,nagpur,1231231238,123123,nagpur,maha,education,class,Engaged,Digital
Shop9,nagpur,1231231239,123123,nagpur,maha,education,class,Engaged,Digital
Shop10,nagpur,1231231240,123123,nagpur,maha,education,class,Engaged,Digital
Shop11,nagpur,1231231241,123123,nagpur,maha,education,class,Engaged,Digital
Shop12,nagpur,1231231242,123123,nagpur,maha,education,class,Engaged,Digital
Shop13,nagpur,1231231243,123123,nagpur,maha,education,class,Engaged,Digital
Shop14,nagpur,1231231244,123123,nagpur,maha,education,class,Engaged,Digital
Shop15,nagpur,1231231245,123123,nagpur,maha,education,class,Engaged,Digital
Shop16,nagpur,1231231246,123123,nagpur,maha,education,class,Engaged,Digital
Shop17,nagpur,1231231247,123123,nagpur,maha,education,class,Engaged,Digital
Shop18,nagpur,1231231248,123123,nagpur,maha,education,class,Engaged,Digital
Shop19,nagpur,1231231249,123123,nagpur,maha,education,class,Engaged,Digital
Shop20,nagpur,1231231250,123123,nagpur,maha,education,class,Engaged,Digital
Shop21,nagpur,1231231251,123123,nagpur,maha,education,class,Engaged,Digital
Shop22,nagpur,1231231252,123123,nagpur,maha,education,class,Engaged,Digital
Shop23,nagpur,1231231253,123123,nagpur,maha,education,class,Engaged,Digital
Shop24,nagpur,1231231254,123123,nagpur,maha,education,class,Engaged,Digital
Shop25,nagpur,1231231255,123123,nagpur,maha,education,class,Engaged,Digital
Shop26,nagpur,1231231256,123123,nagpur,maha,education,class,Engaged,Digital
Shop27,nagpur,1231231257,123123,nagpur,maha,education,class,Engaged,Digital
Shop28,nagpur,1231231258,123123,nagpur,maha,education,class,Engaged,Digital
Shop29,nagpur,1231231259,123123,nagpur,maha,education,class,Engaged,Digital
Shop30,nagpur,1231231260,123123,nagpur,maha,education,class,Engaged,Digital
