"_id","businessName","address","mobile","pincode","city","state","category","subcategory","leadStatus","status","p_id","createdAt","updatedAt","__v","product_category"
"657077a8f9c527588c37a229","some","nagpur","1231231232","123123","nagpur","maha","education","class","Engaged","Digital","657044229384db3b1eba6321","2023-12-06T13:31:20.576Z","2023-12-06T13:31:20.576Z","0",""
"657156227dd8362ade9c2a11","Shop1","nagpur","1231231231","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:34.043Z","2023-12-07T05:20:34.043Z","0",""
"657156227dd8362ade9c2a13","Shop2","nagpur","1231231232","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:34.279Z","2023-12-07T05:20:34.279Z","0",""
"657156227dd8362ade9c2a15","Shop3","nagpur","1231231233","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:34.506Z","2023-12-07T05:20:34.506Z","0",""
"657156227dd8362ade9c2a17","Shop4","nagpur","1231231234","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:34.734Z","2023-12-07T05:20:34.734Z","0",""
"657156227dd8362ade9c2a19","Shop5","nagpur","1231231235","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:34.962Z","2023-12-07T05:20:34.962Z","0",""
"657156237dd8362ade9c2a1b","Shop6","nagpur","1231231236","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:35.187Z","2023-12-07T05:20:35.187Z","0",""
"657156237dd8362ade9c2a1d","Shop7","nagpur","1231231237","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:35.420Z","2023-12-07T05:20:35.420Z","0",""
"657156237dd8362ade9c2a1f","Shop8","nagpur","1231231238","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:35.645Z","2023-12-07T05:20:35.645Z","0",""
"657156237dd8362ade9c2a21","Shop9","nagpur","1231231239","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:35.871Z","2023-12-07T05:20:35.871Z","0",""
"657156247dd8362ade9c2a23","Shop10","nagpur","1231231240","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:36.097Z","2023-12-07T05:20:36.097Z","0",""
"657156247dd8362ade9c2a25","Shop11","nagpur","1231231241","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:36.323Z","2023-12-07T05:20:36.323Z","0",""
"657156247dd8362ade9c2a27","Shop12","nagpur","1231231242","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:36.551Z","2023-12-07T05:20:36.551Z","0",""
"657156247dd8362ade9c2a29","Shop13","nagpur","1231231243","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:36.778Z","2023-12-07T05:20:36.778Z","0",""
"657156257dd8362ade9c2a2b","Shop14","nagpur","1231231244","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:37.008Z","2023-12-07T05:20:37.008Z","0",""
"657156257dd8362ade9c2a2d","Shop15","nagpur","1231231245","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:37.266Z","2023-12-07T05:20:37.266Z","0",""
"657156257dd8362ade9c2a2f","Shop16","nagpur","1231231246","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:37.494Z","2023-12-07T05:20:37.494Z","0",""
"657156257dd8362ade9c2a31","Shop17","nagpur","1231231247","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:37.716Z","2023-12-07T05:20:37.716Z","0",""
"657156257dd8362ade9c2a33","Shop18","nagpur","1231231248","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:37.947Z","2023-12-07T05:20:37.947Z","0",""
"657156267dd8362ade9c2a35","Shop19","nagpur","1231231249","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:38.173Z","2023-12-07T05:20:38.173Z","0",""
"657156267dd8362ade9c2a37","Shop20","nagpur","1231231250","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:38.400Z","2023-12-07T05:20:38.400Z","0",""
"657156267dd8362ade9c2a39","Shop21","nagpur","1231231251","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:38.633Z","2023-12-07T05:20:38.633Z","0",""
"657156267dd8362ade9c2a3b","Shop22","nagpur","1231231252","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:38.856Z","2023-12-07T05:20:38.856Z","0",""
"657156277dd8362ade9c2a3d","Shop23","nagpur","1231231253","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:39.081Z","2023-12-07T05:20:39.081Z","0",""
"657156277dd8362ade9c2a3f","Shop24","nagpur","1231231254","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:39.309Z","2023-12-07T05:20:39.309Z","0",""
"657156277dd8362ade9c2a41","Shop25","nagpur","1231231255","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:39.559Z","2023-12-07T05:20:39.559Z","0",""
"657156277dd8362ade9c2a43","Shop26","nagpur","1231231256","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:39.796Z","2023-12-07T05:20:39.796Z","0",""
"657156287dd8362ade9c2a45","Shop27","nagpur","1231231257","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:40.019Z","2023-12-07T05:20:40.019Z","0",""
"657156287dd8362ade9c2a47","Shop28","nagpur","1231231258","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:40.243Z","2023-12-07T05:20:40.243Z","0",""
"657156287dd8362ade9c2a49","Shop29","nagpur","1231231259","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:40.479Z","2023-12-07T05:20:40.479Z","0",""
"657156287dd8362ade9c2a4b","Shop30","nagpur","1231231260","123123","nagpur","maha","education","class","Engaged","Digital","657155127dd8362ade9c2a09","2023-12-07T05:20:40.765Z","2023-12-07T05:20:40.765Z","0",""
"65715ab17dd8362ade9c2a59","Shop12","nagpur","1231231231","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:01.364Z","2023-12-07T05:40:01.364Z","0",""
"65715ab17dd8362ade9c2a5b","Shop13","nagpur","1231231232","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:01.593Z","2023-12-07T05:40:01.593Z","0",""
"65715ab17dd8362ade9c2a5d","Shop14","nagpur","1231231233","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:01.826Z","2023-12-07T05:40:01.826Z","0",""
"65715ab27dd8362ade9c2a5f","Shop15","nagpur","1231231234","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:02.049Z","2023-12-07T05:40:02.049Z","0",""
"65715ab27dd8362ade9c2a61","Shop16","nagpur","1231231235","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:02.274Z","2023-12-07T05:40:02.274Z","0",""
"65715ab27dd8362ade9c2a63","Shop17","nagpur","1231231236","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:02.497Z","2023-12-07T05:40:02.497Z","0",""
"65715ab27dd8362ade9c2a65","Shop18","nagpur","1231231237","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:02.722Z","2023-12-07T05:40:02.722Z","0",""
"65715ab27dd8362ade9c2a67","Shop19","nagpur","1231231238","123123","nagpur","maha","education","class","Engaged","Digital","657156787dd8362ade9c2a4e","2023-12-07T05:40:02.945Z","2023-12-07T05:40:02.945Z","0",""
